Usuario	Juegos	Cartera	Broquer	An�lisi	Noticies	Foros	Previsi�	Inversi�	Ahorro	Temps real
243	12.50	12.50	0.00	12.50	12.50	0.00	12.50	25.00	25.00	50.00
244	22.22	22.22	11.11	11.11	11.11	0.00	11.11	22.22	22.22	66.66
245	33.33	22.22	11.11	11.11	11.11	0.00	22.22	22.22	22.22	66.66
246	12.50	25.00	0.00	12.50	12.50	0.00	12.50	25.00	25.00	62.50
247	20.00	20.00	10.00	10.00	10.00	0.00	20.00	30.00	30.00	70.00
248	20.00	10.00	10.00	10.00	10.00	0.00	10.00	10.00	10.00	30.00
249	11.11	22.22	0.00	11.11	11.11	0.00	22.22	22.22	22.22	66.66
250	44.44	33.33	11.11	22.22	22.22	0.00	22.22	33.33	33.33	77.77
251	30.00	20.00	10.00	10.00	10.00	0.00	20.00	30.00	30.00	60.00
252	30.00	30.00	10.00	10.00	10.00	0.00	20.00	30.00	30.00	90.00
253	22.22	22.22	11.11	11.11	11.11	0.00	22.22	22.22	22.22	44.44
254	25.00	12.50	12.50	12.50	12.50	0.00	12.50	25.00	25.00	50.00
255	22.22	22.22	11.11	11.11	11.11	0.00	22.22	33.33	33.33	66.66
256	20.00	20.00	10.00	10.00	10.00	0.00	20.00	20.00	30.00	50.00
257	33.33	22.22	11.11	11.11	11.11	11.11	22.22	33.33	33.33	66.66
258	0.00	30.00	0.00	0.00	0.00	0.00	20.00	30.00	30.00	70.00
259	50.00	20.00	10.00	20.00	20.00	0.00	20.00	20.00	20.00	50.00
260	44.44	22.22	11.11	11.11	22.22	0.00	11.11	22.22	22.22	44.44
261	22.22	33.33	11.11	11.11	11.11	0.00	22.22	33.33	33.33	88.88
262	33.33	22.22	11.11	11.11	11.11	0.00	22.22	22.22	22.22	66.66
263	20.00	10.00	0.00	10.00	10.00	0.00	20.00	20.00	20.00	40.00
264	20.00	0.00	10.00	10.00	10.00	0.00	10.00	10.00	10.00	0.00
265	10.00	10.00	0.00	10.00	10.00	0.00	10.00	20.00	20.00	40.00
266	33.33	0.00	11.11	11.11	11.11	0.00	11.11	11.11	22.22	11.11
267	22.22	22.22	11.11	11.11	11.11	0.00	22.22	33.33	22.22	66.66
268	33.33	22.22	11.11	11.11	11.11	0.00	11.11	22.22	22.22	66.66
269	25.00	12.50	12.50	12.50	12.50	0.00	12.50	25.00	25.00	50.00
270	22.22	22.22	11.11	11.11	11.11	0.00	11.11	22.22	22.22	55.55
271	33.33	11.11	11.11	11.11	11.11	0.00	11.11	11.11	11.11	44.44
272	22.22	11.11	11.11	11.11	11.11	0.00	11.11	22.22	22.22	44.44
273	44.44	33.33	11.11	11.11	11.11	0.00	22.22	33.33	33.33	77.77
274	20.00	20.00	10.00	10.00	10.00	0.00	10.00	20.00	20.00	40.00
275	30.00	10.00	10.00	10.00	20.00	0.00	10.00	20.00	20.00	40.00
276	0.00	22.22	0.00	0.00	0.00	0.00	22.22	22.22	22.22	66.66
277	11.11	11.11	11.11	11.11	11.11	0.00	11.11	11.11	11.11	33.33
278	30.00	10.00	10.00	10.00	10.00	0.00	10.00	10.00	20.00	20.00
279	37.50	25.00	12.50	12.50	12.50	0.00	12.50	25.00	25.00	75.00
280	12.50	25.00	0.00	0.00	12.50	0.00	12.50	25.00	25.00	50.00
281	22.22	22.22	11.11	11.11	11.11	0.00	22.22	22.22	22.22	66.66
282	40.00	30.00	10.00	20.00	20.00	0.00	20.00	40.00	30.00	90.00
283	37.50	12.50	12.50	12.50	12.50	0.00	12.50	12.50	12.50	25.00
284	44.44	33.33	11.11	22.22	22.22	0.00	22.22	33.33	33.33	88.88
285	22.22	22.22	11.11	11.11	11.11	0.00	11.11	22.22	22.22	55.55
286	30.00	30.00	10.00	10.00	10.00	0.00	20.00	30.00	30.00	70.00
287	44.44	33.33	11.11	22.22	22.22	0.00	22.22	33.33	33.33	99.99
288	12.50	25.00	12.50	12.50	12.50	0.00	12.50	25.00	25.00	75.00
