Usuario	Juegos	Cartera	Broquer	An�lisi	Noticies	Foros	Previsi�	Inversi�	Ahorro	Temps real
32	11.11	33.33	0.00	0.00	0.00	0.00	11.11	22.22	22.22	88.88
33	11.11	33.33	0.00	0.00	0.00	0.00	22.22	22.22	22.22	100.00
34	11.11	33.33	0.00	0.00	0.00	0.00	11.11	22.22	22.22	88.88
35	11.11	33.33	0.00	0.00	0.00	0.00	11.11	11.11	11.11	77.77
36	22.22	33.33	11.11	11.11	11.11	0.00	11.11	22.22	22.22	88.88
37	11.11	33.33	0.00	0.00	11.11	0.00	11.11	11.11	11.11	88.88
38	11.11	33.33	0.00	0.00	0.00	0.00	11.11	22.22	22.22	100.00
39	22.22	44.44	11.11	11.11	11.11	0.00	11.11	22.22	22.22	100.00
40	12.50	25.00	0.00	0.00	0.00	0.00	12.50	12.50	12.50	75.00
41	0.00	33.33	0.00	0.00	0.00	0.00	11.11	11.11	22.22	100.00
42	11.11	33.33	0.00	0.00	0.00	0.00	11.11	11.11	22.22	88.88
43	11.11	33.33	0.00	0.00	0.00	0.00	11.11	11.11	11.11	88.88
44	12.50	25.00	0.00	0.00	12.50	0.00	12.50	12.50	12.50	75.00
45	11.11	33.33	0.00	0.00	0.00	0.00	11.11	22.22	22.22	88.88
46	12.50	37.50	0.00	0.00	0.00	0.00	12.50	12.50	25.00	87.50
47	11.11	33.33	0.00	0.00	0.00	0.00	11.11	11.11	22.22	88.88
48	11.11	33.33	0.00	11.11	11.11	0.00	11.11	11.11	22.22	100.00
49	11.11	33.33	0.00	0.00	11.11	0.00	11.11	22.22	22.22	100.00
50	0.00	22.22	0.00	0.00	0.00	0.00	11.11	11.11	22.22	77.77
51	0.00	33.33	0.00	0.00	0.00	0.00	11.11	22.22	22.22	88.88
52	11.11	33.33	0.00	0.00	0.00	0.00	11.11	22.22	22.22	100.00
53	12.50	37.50	0.00	0.00	0.00	0.00	12.50	12.50	12.50	100.00
54	0.00	33.33	0.00	0.00	0.00	0.00	11.11	11.11	22.22	88.88
55	0.00	37.50	0.00	0.00	0.00	0.00	12.50	12.50	25.00	100.00
56	11.11	33.33	0.00	0.00	0.00	0.00	22.22	22.22	22.22	100.00
57	11.11	33.33	0.00	0.00	0.00	0.00	11.11	11.11	22.22	100.00
58	12.50	37.50	0.00	0.00	0.00	0.00	12.50	12.50	25.00	100.00
59	11.11	33.33	0.00	0.00	0.00	0.00	11.11	22.22	22.22	77.77
60	11.11	33.33	0.00	0.00	0.00	0.00	11.11	22.22	22.22	100.00
61	22.22	33.33	11.11	11.11	11.11	0.00	11.11	11.11	22.22	88.88
62	12.50	37.50	0.00	0.00	0.00	0.00	12.50	12.50	12.50	100.00
63	11.11	33.33	0.00	0.00	0.00	0.00	11.11	22.22	22.22	88.88
64	12.50	25.00	0.00	0.00	0.00	0.00	12.50	12.50	25.00	87.50
65	12.50	37.50	0.00	0.00	0.00	0.00	12.50	25.00	25.00	100.00
66	11.11	33.33	0.00	0.00	0.00	0.00	11.11	11.11	22.22	88.88
67	12.50	37.50	0.00	0.00	0.00	0.00	12.50	12.50	25.00	87.50
68	0.00	37.50	0.00	0.00	0.00	0.00	12.50	12.50	12.50	87.50
69	11.11	33.33	0.00	0.00	0.00	0.00	11.11	22.22	22.22	88.88
70	11.11	22.22	0.00	11.11	0.00	0.00	11.11	11.11	22.22	77.77
71	22.22	33.33	11.11	11.11	11.11	0.00	11.11	11.11	22.22	88.88
72	11.11	33.33	0.00	0.00	0.00	0.00	11.11	22.22	22.22	100.00
73	0.00	33.33	0.00	0.00	0.00	0.00	11.11	11.11	22.22	88.88
74	11.11	33.33	0.00	11.11	0.00	0.00	11.11	22.22	22.22	88.88
75	11.11	33.33	0.00	0.00	0.00	0.00	11.11	11.11	22.22	88.88
76	12.50	37.50	0.00	0.00	0.00	0.00	12.50	12.50	12.50	100.00
77	11.11	33.33	0.00	0.00	0.00	0.00	11.11	11.11	22.22	88.88
78	11.11	33.33	0.00	0.00	0.00	0.00	11.11	11.11	22.22	77.77
79	0.00	25.00	0.00	0.00	0.00	0.00	12.50	12.50	25.00	87.50
80	11.11	22.22	0.00	0.00	0.00	0.00	11.11	11.11	22.22	66.66
81	0.00	33.33	0.00	0.00	0.00	0.00	11.11	11.11	11.11	100.00
82	12.50	25.00	0.00	0.00	0.00	0.00	12.50	12.50	12.50	87.50
83	22.22	33.33	11.11	11.11	11.11	0.00	11.11	11.11	22.22	88.88
84	11.11	33.33	0.00	0.00	0.00	0.00	11.11	11.11	22.22	100.00
85	11.11	33.33	0.00	0.00	11.11	0.00	11.11	11.11	22.22	88.88
86	0.00	33.33	0.00	0.00	0.00	0.00	11.11	22.22	22.22	100.00
87	0.00	37.50	0.00	0.00	0.00	0.00	12.50	12.50	25.00	100.00
88	11.11	33.33	0.00	0.00	11.11	0.00	11.11	11.11	22.22	100.00
89	0.00	37.50	0.00	0.00	0.00	0.00	12.50	25.00	25.00	100.00
90	0.00	37.50	0.00	0.00	0.00	0.00	12.50	25.00	25.00	100.00
91	12.50	37.50	0.00	0.00	0.00	0.00	12.50	25.00	25.00	100.00
92	0.00	37.50	0.00	0.00	0.00	12.50	12.50	12.50	12.50	87.50
93	11.11	33.33	0.00	0.00	0.00	0.00	11.11	11.11	22.22	88.88
94	12.50	25.00	0.00	0.00	0.00	0.00	12.50	12.50	12.50	75.00
95	12.50	37.50	0.00	0.00	0.00	0.00	12.50	12.50	25.00	100.00
96	11.11	33.33	0.00	0.00	0.00	0.00	11.11	22.22	22.22	100.00
97	12.50	37.50	0.00	12.50	12.50	0.00	12.50	12.50	25.00	100.00
98	11.11	33.33	0.00	0.00	0.00	0.00	11.11	11.11	22.22	77.77
99	11.11	33.33	0.00	11.11	0.00	0.00	11.11	22.22	22.22	88.88
100	12.50	37.50	0.00	0.00	0.00	0.00	12.50	25.00	25.00	100.00
101	11.11	33.33	0.00	0.00	0.00	0.00	11.11	11.11	22.22	100.00
102	0.00	33.33	0.00	0.00	0.00	0.00	11.11	11.11	22.22	88.88
103	0.00	22.22	0.00	0.00	0.00	0.00	11.11	11.11	22.22	77.77
104	0.00	25.00	0.00	0.00	0.00	0.00	12.50	12.50	25.00	87.50
105	12.50	25.00	0.00	0.00	0.00	0.00	12.50	12.50	12.50	75.00
106	0.00	33.33	0.00	0.00	0.00	0.00	11.11	22.22	22.22	88.88
107	12.50	37.50	0.00	0.00	0.00	0.00	12.50	12.50	12.50	87.50
108	12.50	37.50	0.00	0.00	0.00	0.00	12.50	12.50	12.50	87.50
109	0.00	25.00	0.00	0.00	0.00	0.00	12.50	12.50	25.00	87.50
110	11.11	33.33	0.00	0.00	0.00	0.00	11.11	22.22	22.22	100.00
111	11.11	33.33	0.00	11.11	11.11	0.00	11.11	11.11	22.22	88.88
112	12.50	37.50	0.00	0.00	0.00	0.00	12.50	12.50	12.50	87.50
113	12.50	25.00	0.00	0.00	12.50	0.00	12.50	12.50	12.50	75.00
114	0.00	44.44	0.00	0.00	0.00	0.00	11.11	22.22	22.22	100.00
115	11.11	33.33	0.00	0.00	0.00	0.00	11.11	11.11	22.22	100.00
116	12.50	37.50	0.00	0.00	0.00	12.50	12.50	12.50	25.00	100.00
117	0.00	37.50	0.00	0.00	0.00	0.00	12.50	12.50	12.50	87.50
118	12.50	37.50	0.00	0.00	0.00	0.00	12.50	12.50	25.00	100.00
119	12.50	37.50	0.00	0.00	0.00	0.00	12.50	25.00	25.00	100.00
120	12.50	37.50	12.50	12.50	12.50	0.00	12.50	12.50	25.00	100.00
121	0.00	33.33	0.00	0.00	0.00	0.00	11.11	11.11	11.11	77.77
122	12.50	25.00	0.00	0.00	0.00	0.00	12.50	12.50	12.50	75.00
123	11.11	33.33	0.00	0.00	0.00	0.00	11.11	11.11	11.11	100.00
124	0.00	33.33	0.00	0.00	0.00	0.00	11.11	11.11	22.22	77.77
125	11.11	22.22	0.00	0.00	11.11	0.00	11.11	11.11	22.22	77.77
126	11.11	33.33	0.00	0.00	0.00	0.00	11.11	11.11	11.11	88.88
127	12.50	37.50	0.00	0.00	0.00	0.00	12.50	25.00	25.00	87.50
128	0.00	37.50	0.00	0.00	0.00	0.00	12.50	12.50	25.00	100.00
129	11.11	33.33	0.00	11.11	0.00	0.00	11.11	11.11	22.22	88.88
130	12.50	25.00	0.00	0.00	0.00	12.50	12.50	12.50	12.50	75.00
131	11.11	33.33	0.00	0.00	0.00	0.00	11.11	22.22	22.22	88.88
132	0.00	37.50	0.00	0.00	0.00	0.00	12.50	12.50	25.00	100.00
133	12.50	37.50	0.00	0.00	0.00	0.00	12.50	12.50	12.50	87.50
134	12.50	37.50	12.50	12.50	12.50	0.00	12.50	25.00	25.00	100.00
135	12.50	37.50	0.00	0.00	0.00	0.00	12.50	12.50	12.50	100.00
136	0.00	33.33	0.00	0.00	0.00	0.00	11.11	11.11	22.22	88.88
137	11.11	22.22	0.00	0.00	0.00	11.11	11.11	11.11	11.11	77.77
138	0.00	37.50	0.00	0.00	0.00	0.00	12.50	25.00	25.00	100.00
139	12.50	25.00	0.00	0.00	0.00	0.00	12.50	12.50	25.00	87.50
140	11.11	33.33	0.00	0.00	0.00	0.00	11.11	11.11	22.22	88.88
141	12.50	37.50	0.00	0.00	0.00	0.00	12.50	12.50	25.00	87.50
142	11.11	22.22	0.00	0.00	0.00	0.00	11.11	11.11	11.11	77.77
143	11.11	44.44	0.00	0.00	0.00	0.00	11.11	22.22	22.22	100.00
144	0.00	44.44	0.00	0.00	0.00	0.00	11.11	22.22	22.22	100.00
145	12.50	25.00	0.00	0.00	0.00	0.00	12.50	12.50	12.50	75.00
146	0.00	25.00	0.00	0.00	0.00	0.00	12.50	12.50	25.00	75.00
147	12.50	37.50	0.00	0.00	0.00	0.00	12.50	12.50	12.50	100.00
148	0.00	37.50	0.00	0.00	0.00	0.00	12.50	12.50	25.00	87.50
149	11.11	33.33	0.00	0.00	0.00	0.00	11.11	22.22	22.22	88.88
150	0.00	33.33	0.00	0.00	0.00	0.00	11.11	11.11	22.22	88.88
151	12.50	25.00	0.00	0.00	0.00	0.00	12.50	12.50	25.00	87.50
152	0.00	33.33	0.00	0.00	0.00	0.00	11.11	11.11	11.11	100.00
153	11.11	33.33	0.00	0.00	11.11	0.00	11.11	11.11	11.11	77.77
154	11.11	33.33	0.00	0.00	0.00	0.00	11.11	11.11	22.22	88.88
155	11.11	22.22	0.00	0.00	0.00	0.00	11.11	11.11	11.11	77.77
156	11.11	33.33	0.00	0.00	0.00	0.00	11.11	11.11	22.22	88.88
157	11.11	33.33	0.00	0.00	0.00	0.00	11.11	11.11	22.22	88.88
158	0.00	37.50	0.00	0.00	0.00	0.00	12.50	12.50	12.50	87.50
159	12.50	37.50	0.00	0.00	0.00	0.00	12.50	12.50	25.00	87.50
160	11.11	33.33	0.00	0.00	0.00	0.00	11.11	22.22	22.22	100.00
161	12.50	25.00	0.00	0.00	0.00	0.00	12.50	12.50	25.00	87.50
162	11.11	22.22	0.00	0.00	0.00	0.00	11.11	11.11	11.11	77.77
163	0.00	33.33	0.00	0.00	0.00	0.00	11.11	11.11	22.22	88.88
164	11.11	33.33	0.00	0.00	0.00	0.00	11.11	11.11	11.11	88.88
165	25.00	37.50	12.50	12.50	12.50	0.00	12.50	12.50	12.50	100.00
166	12.50	25.00	0.00	0.00	0.00	0.00	12.50	12.50	12.50	87.50
167	11.11	33.33	0.00	0.00	0.00	0.00	11.11	22.22	22.22	100.00
168	12.50	25.00	0.00	0.00	0.00	0.00	12.50	25.00	25.00	75.00
